postingId,title,generatedTitle,description,postingAntiquity,url,status,postingType,totalArea,roofedSurface,bedrooms,bathrooms,halfBathrooms,antiquity,parkingSlots,priceAmount,priceCurrencyId,priceCurrency
58072446,Vendo Departamento en Zona Centrica de Magdalena ID,Departamento · 40m² · 2 Dormitorios,"Departamento en venta en Magdalena: Ubicado en la Av. Sucre con acceso hacía Av. Brasil y Av. La Marina, zona tranquila y segura. Cerca de tiendas comerciales como Plaza Vea, colegios, mercados, centros de entretenimiento. <br><br>Este inmueble tiene un AC. 40 de m2 y cuenta con óptima distribución se encuentra distribuido en 2 dormitorios, 1 baño completo, Sala, Cocina Americana con barra de granito, Lavandería, el edificio cuenta con ascensor. <br><br>El departamento se encuentra en Piso 8 <br><br>El Departamento esta a 2 cdras de la Av La Marina, menos de 5 minutos de Plaza San Miguel, a menos de 5 minutos de la av Universitaria, a 4 cdras de la Av Brasil, Cerca a supermercados Candy, Wong, Plaza Vea, Vivanda, bancos, restaurantes",Publicado hace 25 días,https://urbania.pe/inmueble/venta-de-departamento-en-magdalena-lima-2-dormitorios-58072446,ONLINE,PROPERTY,40,40,2,1,0,3,,224400,6,S/
13386380,Venta de Departamento en Magdalena del Mar,Departamento · 78m² · 3 Dormitorios,"DEPARTAMENTO EN MAGDALENA <br><br>Edificio Moderno Piso 8° con Ascensor, 78 mts2. Construcción material noble. Vista a dos Calles,amplias Ventanas.Sala-Comedor, dos Baños completos, tres Dormitorios (Principal con baño privado y balcón), con Closet y Pisos Parquet. Cocina cerrada y amplia con Repostería altos/bajos en ambos frentes. Lavadero Ropa y Utensilios <br>Zona Lavandería. Campana Extractora e instalación para Gas. Tendal exclusivo en Azotea. Intercomunicador. Vigilancia y Seguridad, Estacionamiento vigilado frente Edificio. Cerca iglesia la cúpula, av. sucre, calle castilla Opcional Venta amoblado. <br>Precio Negociable <br>Informe y visita previa cita: llamar Celular <span class='descripcionDatosAnunciante'><button class='btn btn-link js-verDatos' href='#'>Ver datos</button></span> <br>BBBBBB",Publicado hace 56 días,https://urbania.pe/inmueble/venta-de-departamento-en-magdalena-lima-3-dormitorios-13386380,ONLINE,PROPERTY,78,78,3,2,0,5,,315400,6,S/
13483533,Venta de Departamento en Magdalena del Mar,Departamento · 84m² · 3 Dormitorios · 1 Estacionamiento,"SALA COMEDOR CON UNA ESPECTACULAR VISTA AL MAR<br><br>COCINA<br>* Cocina empotrada a gas<br>* Campana extractora<br>* Reposteros altos y bajos<br>* Refrigerador<br>* Alacena corrediza.<br><br><br>3 DORMITORIOS<br>* 1 dormitorio principal con closet y baño incorporado<br>* 2 dormitorios, 1 con closet<br>* 1 baño en el pasillo<br><br>SERVICIOS<br>* Lavandería con muebles grandes (melanina resistente a la humedad - RH)<br>* Terma a gas<br>* Conexión para agua caliente<br>* Rollers lavables en todas las habitaciones<br>* Pisos de porcelanato nuevos<br>* Áreas comunes: Zona de parrilla y salón de recepción<br>* Una cochera lineal en sótano 3 (ascensor para carros)<br>* Seguridad las 24 horas.<br>cuadra 41  de la av. brasil",Publicado hace 56 días,https://urbania.pe/inmueble/venta-de-departamento-en-magdalena-lima-3-dormitorios-ascensor-13483533,ONLINE,PROPERTY,84,84,3,2,,5,1,464800,6,S/
13512401,Venta de Departamento en Magdalena del Mar,Departamento · 63m² · 2 Dormitorios,"Vendo excelente departamento full amoblado con vista al mar de 63m2 A.C en el piso 20 con ascensor, ubicado en la Av. Brasil 4052 – Urb. Udima – Magdalena del Mar, a la altura del cruce de las Avs. El Ejercito / Av. Brasil, cerca de Colegios – Parques – Agencias y del Hospital Victor Larco Herrera, edificio con seguridad y video-vigilancia. <br>Cuenta con: <br>Sala comedor con vista exterior, balcón, cocina con reposteros altos y bajos (con tablero de granito), campana extractora (cocina empotrada – horno digital – purificador de agua), lavandería (con secadora), terma, 2 dormitorios con closets (principal con walking closet y baño incorporado), 2do dormitorios con cama batiente, 1 baño completo compartido/visita. <br>-Rollers. <br>-Luminarias modernas. <br>Áreas comunes: <br>-Terraza para reuniones. <br>-GYM. <br>COCHERA (TRATO DIRECTO CON LA CONSTRUCTORA). <br>Mantenimiento: S/300 soles. <br>Incluye: <br>Precio de venta: $110,00 USD. <br>Papeles en regla. <br>Contacto: 9.5.6.5.6.7.3.3.6 – 9.8.3.8.7.1.9.9.1",Publicado hace 56 días,https://urbania.pe/inmueble/venta-de-departamento-en-udima-magdalena-2-dormitorios-ascensor-13512401,ONLINE,PROPERTY,63,63,2,2,0,5,,365200,6,S/
58170578,Departamento Ubicado en El Jr. Saenz Peña Cuadra 5 en Magdalena del Mar,Departamento · 71m² · 3 Dormitorios · 2 Estacionamientos,"EN VENTA, acogedor departamento ubicado en el Jr. Saenz Peña cuadra 5 en Magdalena del Mar, de 117.25 m2 totales, 71.25 m2 techados, 15 m2 de aires, 2 estacionamientos lineales, en 3er piso con ascensor directo, vista a calle, edificio de 5 pisos, 1 departamento por piso. <br>PRECIO: $ 160,000 negociables <br>Departamento de 3 dormitorios, sala comedor, lavandería, 2 1/2 baños, dormitorio principal con closet y baño incorporado, cocina con tablero de granito y con reposteros altos y bajos, bien iluminado con luz natural en todos los ambientes. <br>Ubicado cerca a avenidas principales como la Avenida Brasil, Sucre, Javier Prado, al parque Grau, malecón de Magdalena. Visitas fáciles, contactar a Ofelia Sanchez con licencia MVCS 4912",Publicado hace 14 días,https://urbania.pe/inmueble/venta-de-departamento-en-magdalena-lima-3-dormitorios-58170578,ONLINE,PROPERTY,117,71,3,2,1,1,2,528000,6,S/
57831480,Estreno - Balcón con Vista Exterior - Todo Exclusivo - Rooftop Vista Al Mar,Departamento · 101m² · 3 Dormitorios · 1 Estacionamiento,"Sala - comedor con balcón *** Cocina Kitchenette (con tablero de granito) *** 3 habitaciones (hab. principal con baño) *** 2.5 baños *** Pisos de madera *** Lavandería y baño de servicio. *** 1 Depósito *** 1 Cochera *** Ubicado en una calle tranquila, frente al Lima Cricket. *** Disponible en Piso 3 con ascensor. *** Seguridad 24 horas. *** Se permiten mascotas.*** Áreas comunes: gimnasio, área de niños, salón de reuniones, lobby, 2 terrazas amobladas, RoofTop amoblados con parrilla. *** De Estreno ***",Publicado hace 47 días,https://urbania.pe/inmueble/venta-de-departamento-en-magdalena-lima-3-dormitorios-ascensor-57831480,ONLINE,PROPERTY,101,101,3,2,1,1,1,849000,6,S/
58120711,Amplio Duplex. Excelente Ubicación Cerca Al Limite San Isidro/magdalena.,Departamento · 212m² · 4 Dormitorios · 2 Estacionamientos,"Lindo duplex de 307 m2 (212m2 construidos y 95m2 de terraza) , 4to y 5to piso, terminado en 2016. Ocupado solamente por primeros propietarios. Ambientes amplios, muchos closets, muy iluminado. Edificio de 4 pisos con ascensor, 2 departamentos por piso, calle enrejada y cerrada de noche. A media cuadra del Club Cricket y a 2 cuadras del parque Acosta. <br>1er Piso: Doble ingreso (principal a sala y de servicio a cocina) sala comedor muy amplia, linda cocina, pequeña área de distribución con closets, 3 dormitorios , el principal con baño incorporado (con ducha y aparte tina tamaño jacuzzi), 2do baño para los cuartos secundarios y medio baño de visita. <br>2do Piso: Sala de TV con bar, pequeña oficina independiente, baño completo, 2 terrazas (una con vista a la calle con lunas altas ya instaladas y otra muy grande en la parte trasera parcialmente techada), cuarto de servicio dentro del departamento muy amplio con baño completo (puede usarse como un 4to dormitorio), pasadizo con closets, lavandería cerrada muy amplia con tendal y closets. <br>Estacionamiento techado para 2 carros (lineal). <br>Deposito en sótano. Mantenimiento S./350.00. Medidor de agua independiente.",Publicado hace 18 días,https://urbania.pe/inmueble/venta-de-departamento-en-magdalena-lima-4-dormitorios-ascensor-58120711,ONLINE,PROPERTY,307,212,4,4,1,4,2,1375216,6,S/
13509964,Ocasión Venta de Hermoso Departamento de 2 Habitaciones en Magdalena del Mar,Departamento · 62m² · 2 Dormitorios · 1 Estacionamiento,"Hermoso departamento de 62.15 m2 con una vista espectacular en piso 20, vista al mar. <br>Ubicado al final de la av. Brasil, full amoblado con cocina estilo americano con tablero de granito, cocina empotrada, campana, horno digital, purificador de agua, lavandería con lavadora secadora y terma a gas, sala con pared de espejos completos, con 2 dormitorios con vista a la calle, el principal con walking closet y baño completo, el segundo dormitorio con closet y cama batiente, baño de visita completo. El departamento cuenta con rollers y luminarias modernas. El edificio cuenta con terraza para reuniones y gimnasio completo con excelente vista en el último piso. Opción a una cochera grande en el primer nivel. <br>-Paga Alcabala <br>Dpto (62.15 m2) $115.000 precio negociable <br>Cochera S/40.000 (trato directo con la constructora) <br>AL FINAL DE LA AV. BRASIL",Publicado hace 55 días,https://urbania.pe/inmueble/venta-de-departamento-en-magdalena-lima-2-dormitorios-ascensor-13509964,ONLINE,PROPERTY,62,62,2,2,0,1,1,381800,6,S/
58183972,"En Estreno, Zona Exclusiva, Gimnasio, Terraza Vista Al Mar, Parrilla",Departamento · 53m² · 1 Dormitorio · 1 Estacionamiento,"Departamento en Estreno, en zona tranquila y exclusiva cerca al Lima Cricket Club. <br>En el límite de San Isidro, cerca al Malecón <br>NO PAGA ALCABALA <br><br>Modernas Áreas Comunes: <br>- Terraza Roftop con Vista al Mar <br>- Zona de Parrillas <br>- Gimnasio <br>- Área con juegos para niños <br>- Sala Lounge de usos multiples <br>- Lobby moderno <br><br>1 Habitación con baño propio. <br>Sala Comedor con cocina Kitchenet, con tablero de granito y piso de madera estructurada <br>1 baño de visita <br>Lavandería <br>Incluye: 1 Cochera y Depósito <br>Vista Interior",Publicado hace 11 días,https://urbania.pe/inmueble/venta-de-departamento-en-magdalena-lima-1-dormitorio-ascensor-58183972,ONLINE,PROPERTY,53,53,1,1,1,1,1,438100,6,S/
58030881,Vendo Departamento en Zona Centrica de Magdalena,Departamento · 40m² · 2 Dormitorios,"Departamento en venta en Magdalena: Ubicado en la Av. Sucre con acceso hacía Av. Brasil y Av. La Marina, zona tranquila y segura. Cerca de tiendas comerciales como Plaza Vea, colegios, mercados, centros de entretenimiento. <br><br>Este inmueble tiene un AC. 40 de m2 y cuenta con óptima distribución se encuentra distribuido en 2 dormitorios, 1 baño completo, Sala, Cocina Americana con barra de granito, Lavandería, el edificio cuenta con ascensor. <br><br>El departamento se encuentra en Piso 8 <br><br>El Departamento esta a 2 cdras de la Av La Marina, menos de 5 minutos de Plaza San Miguel, a menos de 5 minutos de la av Universitaria, a 4 cdras de la Av Brasil, Cerca a supermercados Candy, Wong, Plaza Vea, Vivanda, bancos, restaurantes",Publicado hace 31 días,https://urbania.pe/inmueble/venta-de-departamento-en-magdalena-lima-2-dormitorios-58030881,ONLINE,PROPERTY,40,40,2,1,0,3,,226440,6,S/
