postingId,title,generatedTitle,description,postingAntiquity,url,status,postingType,totalArea,roofedSurface,bedrooms,bathrooms,halfBathrooms,antiquity,parkingSlots,priceAmount,priceCurrencyId,priceCurrency
57811612,Venta - Alquiler de Lindo Departamento en La Av del Ejercito,Departamento · 87m² · 3 Dormitorios,"El departamento cuenta con. <br><br>3 Dormitorios <br>1 sala de computo <br>2 baños <br>Cocina con muebles altos y bajos <br>2 ascensores <br>No tiene cochera <br>Zonas comunes : Parrilla, Gimnasio y Salón para eventos <br>Mantenimiento S/ 200 <br>Aceptan mascotas <br>Vigilancia <br>Conexión GNV <br>Súper conectividad para todas las zonas de Lima",Publicado hace 10 días,https://urbania.pe/inmueble/alquiler-de-departamento-en-magdalena-lima-3-dormitorios-57811612,ONLINE,PROPERTY,87,87,3,2,0,2,,2500,6,S/
13506676,Alquilo Departamento en Av Juan de Aliaga Cuadra 6 Magdalena del Mar,Departamento · 120m² · 3 Dormitorios · 1 Estacionamiento,"Alquilo Lindo Dpto. Llámame soy Dany Rodriguez c.<span class='descripcionDatosAnunciante'><button class='btn btn-link js-verDatos' href='#'>Ver datos</button></span>. <br>Este Dpto cuenta con Sala comedor amplia e iluminada con luz natural y tiene mampara de vidrio que da a una bonita vista interior hacia Magdalena Moderna. <br>Tiene baño de visita. <br>Cocina con muebles altos y bajos con campana extractora. <br>Área de Lavandería independiente y amplia. <br>Cuarto y baño de servicio. <br>Cuenta con una área de Family Room o de Escritorio, El dormitorio Principal tiene baño incorporado con ducha, closets de pared a pared , los 2 dormitorios adicionales son amplios iluminados y cuentan con Closets comparten un baño completo. <br>Tiene 1 Cochera bien ubicada. <br>Tiene ducto de basura. <br>frente a Parque y a Starucks de Av.Javier Prado oeste",Publicado hace 3 días,https://urbania.pe/inmueble/alquiler-de-departamento-en-orrantia-del-mar-magdalena-3-dormitorios-ascensor-13506676,ONLINE,PROPERTY,120,120,3,3,0,5,1,3150,6,S/
58089973,Hermoso Departamento Semi Amoblado Vista Al Mar 3 Dorm.,Departamento · 85m² · 3 Dormitorios · 1 Estacionamiento,"Lindo departamento semi amoblado en alquiler en Magdalena 85m2, 2 años de antigüedad. Cuenta con 3 dormitorios (principal c/ baño c/tina, viene con cama queen), sala comedor amplia (incluye juego de comedor y mueble para TV, sofá cama), balcón con vista parcial al mar, cocina viene con campana, cocina, horno empotrado, refrigeradora. 2 baños completos, lavandería (incluye lavaseca). Incluye 1 estacionamiento y 1 depósito muy amplio. <br>Áreas comunes: juegos para niños, área de parrillas, SUM, Gym <br>-precio S/2500 Renzo Basurco -9-3-3-6-6-2-8-0-6",Publicado hace 7 días,https://urbania.pe/inmueble/alquiler-de-departamento-en-magdalena-lima-3-dormitorios-ascensor-58089973,ONLINE,PROPERTY,85,85,3,2,0,2,1,2500,6,S/
58136155,Departamento en Alquiler · 95 m&sup2; · 3 Dorm. · 1 Estacionamiento,Departamento · 95m² · 3 Dormitorios · 1 Estacionamiento,"Departamento en alquiler en la mejor zona de Magdalena (límite con San Isidro), con excelente vista. Ubicado en la Av. Juan de Aliaga Cdra. 5, con fácil acceso a avenidas principales como la Av. Javier Prado, Av. Pershing, Av. Salaverry y Av. Del Ejército y a pocos minutos del Real Plaza Salaverry Zona exclusiva del distrito, muy tranquila, con todo tipo de locales y negocios a los alrededores. <br><br>*DISTRIBUCIÓN:* <br>Área total 95m2 <br>3 dormitorios (1 principal y 2 secundarios) <br>2 baños (1 en el dormitorio principal y de visita) <br>Sala <br>comedor <br>Cocina <br>Lavandería <br>1 balcón con hermosa vista <br>1 estacionamiento <br>*ÁREAS COMPARTIDAS:* <br>Gimnasio <br>Zona de juego para niños <br>Zona de parrila <br>Sala de reuniones - Oficina - Azotea <br>*IMPORTANTE:* <br>Ascensores <br>Mantenimiento S/. 350 (Aprox.). <br>Servicios independientes <br>Documentos en regla <br>¡COORDINEMOS UNA VISITA!",Publicado desde ayer,https://urbania.pe/inmueble/alquiler-de-departamento-en-magdalena-lima-3-dormitorios-ascensor-58136155,ONLINE,PROPERTY,95,95,3,2,0,5,1,3100,6,S/
58078514,Alquiler de Departamento en Magdalena del Mar - Lima Cricket,Departamento · 112m² · 3 Dormitorios · 2 Estacionamientos,"DEPARTAMENTO FLAT EN EXCELENTE ESTADO - FRENTE AL LIMA CRICKET <br><br>Zona residencial, de calle cerrada y cercano al cruce de Avenidas Juan de Aliaga - Del Ejército. <br><br>Cuenta con 03 dormitorios, 02 baños completos, 01 baño de visitas y 02 cocheras. <br><br>Todos los dormitorios con closets. Baño incorporado en dormitorio principal con tina de hidromasaje. <br><br>Sala-comedor, cocina con reposteros altos y bajos. Cuarto y baño de servicio. <br><br>Buenos acabados en cocina y baños. Pisos de parquet de madera en todos sus ambientes. <br><br>Edificio cuenta con seguridad 24 horas. 2 ascensores. Moderno hall de ingreso con sala de espera. <br><br>Incluye rollers y persianas. <br><br>DESOCUPADO Y LISTO PARA MUDANZA. <br><br>Facilidad de visitas.",Publicado hace 12 días,https://urbania.pe/inmueble/alquiler-de-departamento-en-magdalena-lima-3-dormitorios-58078514,ONLINE,PROPERTY,112,112,3,2,1,5,2,3300,6,S/
13369570,Alquiler Departamento 116 m&sup2; Semi Amoblado Edificio Miramar I - Magdalena,Departamento · 116m² · 2 Dormitorios · 2 Estacionamientos,"Contamos con esplendido DEPARTAMENTO EN EDIFICIO RESIDENCIAL MIRAMAR I <br>AREA DE 116.00 M2 <br>Consta de 3 dormitorios 1cuarto de servicio 3 servicios higiénico , 1 dentro del dormitorio principal, 1 dentro del cuarto de servicio y uno de visita y para compartir los dos dormitorios, cocina y lavandería, conexión de gas. la cocina está amoblada tiene refrigerador, cocina y micro ondas, también tiene lavadora secadora <br>Incluye 1 estacionamiento y 1 depósito <br>* PRECIO DE ALQUILER DEL DEPARTAMENTO ASCIENDE A US$ 1,050.00 Inc. IR (5%) | Precio incluye 01 COCHERA DOBLE | Disponibilidad INMEDIATA <br>*Teléfonos de contacto: <span class='descripcionDatosAnunciante'><button class='btn btn-link js-verDatos' href='#'>Ver datos</button></span> ENTEL /<span class='descripcionDatosAnunciante'><button class='btn btn-link js-verDatos' href='#'>Ver datos</button></span> BITEL / <span class='descripcionDatosAnunciante'><button class='btn btn-link js-verDatos' href='#'>Ver datos</button></span> (RPC) CORREOS: <span class='descripcionDatosAnunciante'><button class='btn btn-link js-verDatos' href='#'>Ver datos</button></span> /@gmail.com / <span class='descripcionDatosAnunciante'><button class='btn btn-link js-verDatos' href='#'>Ver datos</button></span>",Publicado desde ayer,https://urbania.pe/inmueble/alquiler-de-departamento-en-magdalena-lima-2-dormitorios-ascensor-13369570,ONLINE,PROPERTY,116,116,2,3,0,2,2,3486,6,S/
58116934,Se Alquila Departamento en Magdalena Muy Bien Ubicado,Departamento · 102m² · 3 Dormitorios · 1 Estacionamiento,"Área: 102 m2 <br>Inversión: S/.2,700.00 <br>Se alquila lindo departamento en Magdalena del Mar en sexto piso con balcón, cuenta con sala, comedor bien iluminado con vista a la calle , hall, tres dormitorios con closet, el principal con baño incorporado, los otros dos comparten otro baño. Tiene la cocina con reposteros altos y bajos, área de lavandería, cuarto y baño de servicio. El precio incluye cochera, mantenimiento, arbitrios y el agua hasta un consumo de S/.40.00 que ha sido el consumo promedio de los anteriores inquilinos, si excede pagaría la diferencia por dicho concepto. Tambien se alquila sin cochera en S/.2500.00 . No se permiten mascotas. Si desea agendar una visita lo puede solicitar por este medio o vía telefónica al <span class='descripcionDatosAnunciante'><button class='btn btn-link js-verDatos' href='#'>Ver datos</button></span>.",Publicado hace 18 días,https://urbania.pe/inmueble/alquiler-de-departamento-en-magdalena-lima-3-dormitorios-ascensor-58116934,ONLINE,PROPERTY,102,102,3,3,0,5,1,2700,6,S/
57843366,Alquilo Hermoso Departamento con Vista Al Mar,Departamento · 145m² · 3 Dormitorios · 1 Estacionamiento,"CONTACTAME : 9*5*9*3*6*4*9*3*6 <br>SE AQUILA AMPLIO DEPARTAMENTO FRENTE AL MAR TOTALMENTE AMOBLADO. <br>CUENTA CON TRES AMPLIAS HABITACIONES. <br>DOS BAÑOS COMPLETOS <br>MEDIO BAÑO DE VISITA <br>UNA COCHERA <br>COCINA AMOBLADA CON MUEBLES ALTOS Y BAJOS <br>VIENE CON COCINA EMPOTRADA CON CAMPANA EXTRACTORA, HORNO. <br>CONTRATO UN AÑO . <br>INCLUIDO MANTENIMIENTO <br>DOS MESES DE GARANTIA Y UNO ADELANTADO.",Publicado hace 8 días,https://urbania.pe/inmueble/alquiler-de-departamento-en-magdalena-lima-3-dormitorios-57843366,ONLINE,PROPERTY,145,145,3,3,0,3,1,4316,6,S/
13497656,Alquiler Departamento Magdalena C/s Muebles,Departamento · 99m² · 3 Dormitorios · 1 Estacionamiento,"Se Alquila Departamento <br>Área Social: Sala comedor <br>Área Intima: 3 dormitorios, 2 baños (Dormitorio Principal con baño incorporado). <br>Área de Servicio: Cocina con espacio para comedor de diario, lavandería, cuarto y baño de servicio. <br>1 cochera techada <br>Precio: US$ 900.00 sin muebles <br>Precio: US$ 1,000.00 con muebles <br>A 1/2 cuadra de Lima Cricket",Publicado hace 22 días,https://urbania.pe/inmueble/alquiler-de-departamento-en-pershing-magdalena-3-dormitorios-ascensor-13497656,ONLINE,PROPERTY,99,99,3,3,1,3,1,2988,6,S/
58238277,Alquilo Lindo Departamento Cerca a Plaza San Miguel y La Av Brasil,Departamento · 70m² · 2 Dormitorios · 1 Estacionamiento,"Lindo departamento muy bien ubicado, en Jr. Amazonas 339, a solo 3 cuadras de la Av. Brasil y 5 minutos de Plaza San Miguel. (Alt. Cdra. 5 de la Av. la Marina). <br>La buena distribución permite que el departamento esté bien iluminado. <br>2 Dormitorios. <br>2 Baños completos <br>Incluye 1 COCHERA grande. <br><br>Sala, comedor, cocina, terraza y Lavandería <br>Los dormitorios cuentan con closets de pared a pared. El dorm. Principal tiene baño incorporado y el dorm. Secundario mueble con closet, escritorio y cama empotrada. <br>El departamento incluye terma, campana extractora, luminarias, cortinas y cajonería. <br>El edificio tiene una sala de reuniones y vigilancia permanente 24/7. <br>El costo del mantenimiento es de S/.170 aprox. mensual, incluye el agua.",Publicado hace 4 días,https://urbania.pe/inmueble/alquiler-de-departamento-en-medalla-milagrosa-magdalena-2-dormitorios-ascensor-58238277,ONLINE,PROPERTY,70,70,2,2,0,4,1,1850,6,S/
