postingId,title,generatedTitle,description,postingAntiquity,url,status,postingType,totalArea,roofedSurface,bedrooms,bathrooms,halfBathrooms,antiquity,parkingSlots,priceAmount,priceCurrencyId,priceCurrency
13414557,Moderno Duplex con Terraza Cerca Aparque en Aurora (P),Departamento · 165m² · 3 Dormitorios · 2 Estacionamientos,"Moderno departamento duplex en La Aurora con terraza de solo dos años de antiguedad, a solo pasos de un parque , super ubicacion! <br>Tiene tres dormitorios , tres baños completos mas el de visitas, dormitorio principal con baño incorporado, sala de estar, terraza super amplia con vista a la ciudad con techo sol y sombra, cocina, área de servicio completa. Buenos acabados. Seguridad 24 horas al día. Tiene dos estacionamientos y un deposito incluidos en el precio. <br>CONTACTAR: <span class='descripcionDatosAnunciante'><button class='btn btn-link js-verDatos' href='#'>Ver datos</button></span><span class='descripcionDatosAnunciante'><button class='btn btn-link js-verDatos' href='#'>Ver datos</button></span>",Publicado hace 56 días,https://urbania.pe/inmueble/venta-de-departamento-en-miraflores-lima-3-dormitorios-ascensor-13414557,ONLINE,PROPERTY,235,165,3,4,0,2,2,1230000,6,S/
57809878,Penth House con Piscina,Departamento · 260m² · 6 Dormitorios · 3 Estacionamientos,"Venta de Pent House dúplex A1 , en Miraflores. A un paso del Parque Méliton Porras, a espaldas de al Panadería San Antonio. Cerca a Larco Mar por el lado izquierdo y por el lado derecho , cerca a via expresa ! <br>350m2 área total 260m2 ac <br>Primer piso : <br>Hall de entrada con pisos de marmol . Baño de vista con mármol y luces automáticas. ( buenos acabados.)Amplia e iluminada sala comedor con mamparas de vidrio hacia una pequeña terraza vista exterior. Cocina alemana equipada ,amplia nevera, cuarto y baño de servicio. lindo Bar. 2 dormitorios . 2 baños completos al lado de cada dormitorio. Un depósito . <br>Segundo piso : <br>amplia sala de estar , dormitorio principal con closet y wlakig closet, amplio y lindo baño incorporado con 2 duchas españolas. 1 dormitorio mas con hall y baño con pequeño jacuzzi. Terraza con Parrilla y Piscina con vista panorámica.Aire acondicionado en todo los dormitorios. salas con pisos de madera. <br><br>Excelentes acabados , luminarias con sensor. <br>3 COCHERAS <br>2 depósitos. <br>5 años de antigüedad <br>$ 997,000 <br>Por panadería San Antonio",Publicado hace 52 días,https://urbania.pe/inmueble/venta-de-departamento-en-miraflores-lima-5-a-mas-dormitorios-ascensor-57809878,ONLINE,PROPERTY,350,260,6,6,1,5,3,3310040,6,S/
58249161,Venta Departamento Miraflores con 2 Cocheras,Departamento · 81m² · 2 Dormitorios · 2 Estacionamientos,"En VENTA : Departamento (81.57m2) + 2 cocheras simples (12.81m2 c/u) - 700.000 soles <br>Celular trato directo: 9.6.9.1.1.1.8.6.5 <br><br>DEPARTAMENTO <br>Piso 4, Vista exterior <br><br>Excelente distribución: <br>- Primer dormitorio con baño incorporado y walking closet <br>- Segundo dormitorio con baño incorporado y amplio closet <br>- 1 baño de visitas <br>- Lavandería y Cocina cerrada <br>- Recibidor o zona de escritorio <br>- Sala Comedor súper amplia <br>- Terraza con vista externa <br>- Todos los ambientes cuentan con excelentes acabados <br><br>Incluye: <br>- Cocina Bosch a gas de 4 hornillas <br>- Campana Bosch <br>- Terma Sole <br>- Puntos de iluminación instalados <br>- Cortina tipo roller en sala comedor y 2 dormitorios <br>- Blackout en los dormitorios <br>*Solo un año y dos meses de uso <br><br>Áreas comunes del edificio: <br>- Ascensor Otis <br>- Cámaras de seguridad <br>- Area de espera para visitas <br>- Área de conserje <br>- Salón social con terraza <br>- Cochera con puerta levadiza <br>- Elevador eléctrico para coches y sillas de ruedas <br>- Escalera de escape <br><br>Mantenimiento incluye: <br>- Servicios de conserje 24/7, agua y limpieza de áreas comunes <br><br>Ubicación: <br>- A dos cuadras del Malecón de Miraflores <br>- Cerca a bodegas, tiendas, restaurantes y centros de entrenamiento <br>- Ubicado en Calle General Mendiburu",Publicado hace 3 días,https://urbania.pe/inmueble/venta-de-departamento-en-santa-cruz-miraflores-2-dormitorios-58249161,ONLINE,PROPERTY,107,81,2,3,0,1,2,700000,6,S/
57812241,Lindo Departamento Duplex a Una Cdra. del Malecon de La Marina,Departamento · 128m² · 2 Dormitorios · 2 Estacionamientos,"DESCRIPCION : 1er. piso : sala comedor con techo doble altura, vista a la calle, cocina abierta con una barra para comedor de diario, la cocina viene equipada con encimera, horno, campana extractora y refrigeradora, lavanderia, baño de visitas. <br>2do. piso : 2 dormitorios, un baño completo, un walking closet. <br>2 cocheras y un deposito. <br>Este es un departamento con un diseño exclusivo, vale la pena verlo !!!!",Publicado hace 50 días,https://urbania.pe/inmueble/venta-de-departamento-en-miraflores-lima-2-dormitorios-ascensor-57812241,ONLINE,PROPERTY,128,128,2,1,1,5,2,1019590,6,S/
13486396,Venta de Departamento en Miraflores,Departamento · 123m² · 2 Dormitorios · 1 Estacionamiento,"Departamento ubicado en la Avenida Ricardo Palma en el distrito de Miraflores, cerca a colegios, centros comerciales, universidades, bancos y parques. Zona altamente segura y residencial. <br>El departamento tiene 6 meses de uso y se vende por motivos de viaje. <br>La cocina viene equipada con implementos Bosch. Cuenta con ventanales que permiten la entrada de luz natural. El departamento cuenta con acabados de calidad. <br>La cochera está incluida.",Publicado hace 56 días,https://urbania.pe/inmueble/venta-de-departamento-en-aurora-miraflores-2-dormitorios-ascensor-13486396,ONLINE,PROPERTY,123,123,2,2,0,1,1,926750,6,S/
13414336,Miraflores,Departamento · 75m² · 1 Dormitorio · 1 Estacionamiento,"Miraflores 1 dormitorio 1 cochera techada área 75m vista a la calle a 2 cuadras de la clínica Anglo Americana, sala comedor con amplia ventana en un 3er piso con ascensor",Publicado hace 27 días,https://urbania.pe/inmueble/venta-de-departamento-en-miraflores-lima-1-dormitorio-ascensor-13414336,ONLINE,PROPERTY,75,75,1,1,0,5,1,493000,6,S/
13295702,Venta de Departamento en Miraflores,Departamento · 143m² · 3 Dormitorios · 2 Estacionamientos,"COMODO FLAT DE TRES DORMITORIOS CON FINOS ACABADOS, AMPLIA SALA COMEDOR, BONITA Y AMPLIA COCINA , BAÑO DE VISITAS. DORMITORIO PRINCIPAL CON BAÑO  Y WALK -IN CLOSET, DOS AMPLIOS DORMITORIOS ADICIONALES, SEGUNDO BAÑO COMPLETO. LAVANDERÍA, DORMITORIO Y BAÑO DE SERVICIO. MUY BIEN UBICADO, CERCA A TODO. INCLUYE DOS COCHERAS.",Publicado hace 53 días,https://urbania.pe/inmueble/venta-de-departamento-en-miraflores-lima-3-dormitorios-13295702,ONLINE,PROPERTY,143,143,3,4,,4,2,1060740,6,S/
57789815,Lindo Departamento en Miraflores.,Departamento · 151m² · 2 Dormitorios · 2 Estacionamientos,"Departamento de dos dormitorios, dormitorio principal con walk in closet, baño y vista al parque, segundo dormitorio mas una habitación extra para un escritorio, family room, amplia sala comedor con vista exterior, medio baño de visita, ascensor directo al departamento, amplia cocina y lavandería, cuarto y baño de servicio. <br>Cuenta con dos estacionamientos paralelos, un depósito, guardianía 24/7. <br>Precio de venta en Dolares Americanos",Publicado hace 54 días,https://urbania.pe/inmueble/venta-de-departamento-en-miraflores-lima-2-dormitorios-ascensor-57789815,ONLINE,PROPERTY,151,151,2,2,1,5,2,1275000,6,S/
58026961,Vendo Duplex de 2 Dorm + Estacionamiento Doble en Miraflores,Departamento · 110m² · 2 Dormitorios · 2 Estacionamientos,"A 2 CUADRAS DE LA ESTACIÓN DOMINGO ORUE DEL METROPOLITANO <br>DescripciónVendo hermoso departamento DUPLEX en MIRAFLORES con excelentes acabados y distribución, ubicado en una de las mejores zonas de Miraflores. Cuenta con una ubicación cerca a todo, colegio, Universidad, estación del Metropolitano, parroquia, hospitales, restaurantes, centro comercial Plaza Vea y más. Edificio de 17 pisos con 92 departamentos. Cuenta con 2 ascensores (Schindler). ÁREAS COMUNES DEL EDIFICIO: Lobby de recepción, sala de reuniones, Zona de parrilla y Terraza. CARACTERÍSTICAS: - Área de Total: 130 m2 - Área construida: 110 m2 - Amplia Terraza con comedor y parrilla. - 02 dormitorios - 02 baños completos +01 de visita - Walking closet y closet - Lavandería - Sala - Comedor - Kitchenette y cocina con reposteros altos y bajos - Intercomunicador - Cuenta con therma - Salida de emergencia - Esta permitido las mascotas. - Seguridad las 24 hrs. y vídeo vigilancia. - Tiene 5 años de antigüedad. - El departamento es interno y con vista al mar. MANTENIMIENTO: S./ 350.00 (Incluye agua) . PRECIO DE DEPARTAMENTO: $ 230,000.00",Publicado hace 31 días,https://urbania.pe/inmueble/venta-de-departamento-en-miraflores-lima-2-dormitorios-58026961,ONLINE,PROPERTY,130,110,2,3,0,5,2,832500,6,S/
58010197,Venta Departamento Miraflores - Parque Tradiciones,Departamento · 97m² · 3 Dormitorios · 1 Estacionamiento,"ACOGEDOR DEPARTAMENTO VISTA AL PARQUE EN MIRAFLORES <br><br>Ubicado en zona residencial sobre Av. Ricarda Palma a pasos del parque Las Tradiciones. <br><br>Consta de 3 dormitorios, 2 baños completos y cochera techada. <br><br>Cocina implementada con muebles altos y bajos. Zona de lavandería con cuarto y baño de servicio. <br><br>Sala-comedor con vista a calle (con balcón). <br><br>Habitaciones cómodas con closets. <br><br>Seguridad as 24 horas con video vigilancia. Cuenta con ascensor. <br><br>Mantenimiento 220 soles. <br><br>Facilidad de visitas.",Publicado hace 33 días,https://urbania.pe/inmueble/venta-de-departamento-en-miraflores-lima-3-dormitorios-ascensor-58010197,ONLINE,PROPERTY,97,97,3,2,0,4,1,726000,6,S/
