postingId,title,generatedTitle,description,postingAntiquity,url,status,postingType,totalArea,roofedSurface,bedrooms,bathrooms,halfBathrooms,antiquity,parkingSlots,priceAmount,priceCurrencyId,priceCurrency
58205620,A Media Cuadra de Malecon Cisneros con Balcon! 3c. G,Departamento · 164m² · 3 Dormitorios · 2 Estacionamientos,"Precioso y amplio departamento con balcon, totalmente amoblado y equipado, excelente ubicacion, super iluminacion, tres dormitorios, tres baños, sala comedor cocina lavanderia, dos cocheras. Alquiler mensual $1,450 Cinthya Gil 9.8.5.7.5.9.5.9.5. - 9.3.7.5.7.7.9.3.1. <br>El departamento que estas buscando, nosotros lo tenemos, este y muchos mas, amoblados, sin amoblar, pisos altos, pisos bajos, vista interna o a la calle, en todo Lima, comunicate con nosotros y visita el departamento ideal para TI!!!",Publicado hace 9 días,https://urbania.pe/inmueble/alquiler-de-departamento-en-miraflores-lima-3-dormitorios-ascensor-58205620,ONLINE,PROPERTY,170,164,3,3,1,3,2,4900,6,S/
57783226,Hermoso Departamento! 2c. G,Departamento · 115m² · 3 Dormitorios · 1 Estacionamiento,"Precioso departamento totalmente amoblado y equipado, inmejorable ubicacion, super iluminado, tres dormitorios, (principal con walking closet y baño) tres baños, sala comedor, cocina lavanderia, cochera. Alquiler mensual $1,150 Cinthya Gil 9.8.5.7.5.9.5.9.5. - 9.3.7.5.7.7.9.3.1. <br><br>El departamento que estas buscando, nosotros lo tenemos, este y muchos mas, amoblados, sin amoblar, pisos altos, pisos bajos, vista interna o a la calle, en todo Lima, comunicate con nosotros y visita el departamento ideal para TI!!!",Publicado hace 25 días,https://urbania.pe/inmueble/alquiler-de-departamento-en-miraflores-lima-3-dormitorios-ascensor-57783226,ONLINE,PROPERTY,122,115,3,3,1,5,1,3850,6,S/
58142982,Excelente Zona Residencial Cerca a Larcomar! Vista a La Copa de Los Árboles.,Departamento · 129m² · 2 Dormitorios · 1 Estacionamiento,"Departamento de 2 dormitorios el principal con baño incorporado, cocina cerrada, lavandería, cuarto y baño de servicio. Excelente zona en calle tranquila. Ascensor directo. 129m2. Precio 1200 dolares",Publicado desde ayer,https://urbania.pe/inmueble/alquiler-de-departamento-en-miraflores-lima-2-dormitorios-58142982,ONLINE,PROPERTY,129,129,2,2,0,5,1,3600,6,S/
57869862,Alquilo Lindo Moderno Dpto Vista Externa Equipado y Amoblado,Departamento · 114m² · 3 Dormitorios · 1 Estacionamiento,"Lindo moderno vista a la calle muy iluminado, amoblado y equipado, excelente ubicación, Calle Ignacio Merino 580 Miraflores, entorno residencial rodeado de parques, cerca de centros comerciales, colegios, cines, restaurantes, cafés, iglesias, a unas cuadras del Malecón de la Marina, <br>Distribución: quinto piso, pasillo, sala comedor, cocina con plataforma de granito, tres dormitorios el principal con baño incorporado, dos baños y medio, lavandería, cuarto y baño de servicio. <br>Una cochera techada con portero eléctrico, recepción con guardianía las 24 horas, edificio de 7 pisos <br>Condiciones: dos por uno, de preferencia alquiler mínimo por dos años.",Publicado hace 18 días,https://urbania.pe/inmueble/alquiler-de-departamento-en-miraflores-lima-3-dormitorios-ascensor-57869862,ONLINE,PROPERTY,114,114,3,2,1,5,1,4000,6,S/
12593965,Alquiler de Departamento en Miraflores,Departamento · 94m² · 2 Dormitorios · 1 Estacionamiento,"Dpto AMOBLADO en alquiler de 94m2 en el corazon de Miraflores cerca a Parque Keneddy y Ovalo de Miraflores donde encontraras variedad de tiendas, restaurantes, centros comerciales, bancos, farmacias, cines. El departamento se encuentra en Calle Enrique Palacios en un primer piso interior, cuenta con sala comedor, 1 baño completo de visitas, cocina, lavanderia, cuarto y baño de servicio, dos dormitorios el principal bastante amplio con baño incorporado con tina. PRECIO $1000 Mantenimiento S/150 CONTACTO <span class='descripcionDatosAnunciante'><button class='btn btn-link js-verDatos' href='#'>Ver datos</button></span> Tlf <span class='descripcionDatosAnunciante'><button class='btn btn-link js-verDatos' href='#'>Ver datos</button></span> <br>Parque Kennedy",Publicado desde ayer,https://urbania.pe/inmueble/alquiler-de-departamento-en-miraflores-lima-2-dormitorios-12593965,ONLINE,PROPERTY,94,94,2,2,0,4,1,3000,6,S/
12980678,Oportunidad: Lindo Departamento en Miraflores,Departamento · 90m² · 2 Dormitorios · 1 Estacionamiento,"Moderno departamento en el centro de Miraflores, a unos pasos del parque central y de la playa. Amplio y gran luminosidad. Totalmente amoblado listo para vivir con todas las comodidades. Dormitorio principal con baño completo incorporado con ducha española y balcón con vista a piscina y walk in closet. Comedor con balcón y moderna cocina americana con refrigerador, cocina y horno. Segundo dormitorio con baño completo. Lavadora y secadora. Baño de visita. <br>Cuenta con amplia cochera techada y Seguridad 24 horas. El edificio cuenta con áreas comunes como 2 piscinas, 1 gimnasio, 1 sala de juegos de adultos, Sala de Uso Múltiples y zonas de parillas. Contacto <span class='descripcionDatosAnunciante'><button class='btn btn-link js-verDatos' href='#'>Ver datos</button></span>/ <span class='descripcionDatosAnunciante'><button class='btn btn-link js-verDatos' href='#'>Ver datos</button></span>",Publicado hace 27 días,https://urbania.pe/inmueble/alquiler-de-departamento-en-miraflores-lima-2-dormitorios-ascensor-12980678,ONLINE,PROPERTY,90,90,2,3,0,4,1,3590,6,S/
58215064,Hermoso Totalmente Amoblado! 2c. G,Departamento · 105m² · 3 Dormitorios · 1 Estacionamiento,"Precioso departamento excelente ubicacion, super iluminacion, tres dormitorios, dos baños, sala comedor cocina lavanderia, cochera. Alquiler mensual $1,300 Cinthya Gil 9.8.5.7.5.9.5.9.5. - 9.3.7.5.7.7.9.3.1. <br>El departamento que estas buscando, nosotros lo tenemos, este y muchos mas, amoblados, sin amoblar, pisos altos, pisos bajos, vista interna o a la calle, en todo Lima, comunicate con nosotros y visita el departamento ideal para TI!!!",Publicado hace 8 días,https://urbania.pe/inmueble/alquiler-de-departamento-en-miraflores-lima-3-dormitorios-ascensor-58215064,ONLINE,PROPERTY,105,105,3,2,1,4,1,4360,6,S/
58213627,Alquilo Departamento en Miraflores Frente Al Mar,Departamento · 120m² · 2 Dormitorios · 2 Estacionamientos,"ALQUILO ESPACIOSO Y MODERNO DEPARTAMENTO DE 2 HABITACIONES 2 BAÑOS CON BALCON Y UNA GRANDIOSA VISTA DIRECTA AL MAR EN LA ZONA MAS EXCLUSIVA DE LIMA, CLASE A1: EL MALECON DE MIRAFLORES A UNA CUADRA DEL PARQUE MARIA REICHE. Ubicado en uno de los edificios mas nuevos y modernos de Miraflores,limite con San Isidro. Ascensor directo al departamento. El edificio tiene piscina temperada, gimnasio, 6 ascensores, sala de eventos, sala de juegos para adultos y ninos, zona de parrilla. En los alrededores bellos parques con areas de recreacion y deportes, los mejores restaurantes de Lima, estacion de policia cercana y dos mercados, cerca al famoso centro comercial Larco Mar. Facil acceso por via rapida al aeropuerto a traves de la Costa Verde, facil acceso a medios de transporte, parelela a las avenidas principales: Av del Ejercito y Av Pardo. No te pierdas la experiencia de ver todos los dias los maravillosos atardeceres desde tu balcon desde el noveno piso. Contagiate de la energia y la alegria de vivir cerca del mar, deportes al aire libre, diversion, inmensas areas verdes donde respirar aire puro,te va encantar! <br><br>DIRECCION : MALECON DE LA MARINA 1176 DEPARTAMENTO C902 MIRAFLORES <br><br>NUMERO DE HABITACIONES Y BANOS :2 habitaciones 2 banos <br><br>GARAGE : Para 2 carros <br><br>DEPOSITOS : Closet varios <br><br>MEDIDA : 120 metros cuadrados <br><br>MANTENIMIENTO : 350 soles el mas bajo de la zona <br><br>PRECIO : $1400 <br><br>VISTA : directa al mar <br><br>ARTEFACTOS : incluye toda la linea blanca: cocina, refrigeradora, microwave, campana, lavaseca, terma, televisor <br><br>LAVANDERIA : con lavaseca <br><br>CARACTERISTICAS : Cocina de granito(abierta tipo americana), bano de marmol, jacuzzi en el baño principal, ascensor directo al departamento, balcon con vista directa al mar <br><br>AMENIDADES : Piscina temperada, gimnasio, sala de eventos, sala de juegos para ninos y adultos, area de parrillas, area para bicicletas, 6 ascensores, camaras de vigilancia <br><br>AREAS CERCANAS: 2 mercados, estacion de policia cercana, a una cuadra del parque Maria Reiche, cerca al area de los mejores restaurantes de Lima: Av La Mar, cerca del famoso centro comercial Larco Mar, facil acceso al aeropuerto atrave de la Costa verde, paralela de la Av. del Ejercito y Pardo, limite con San Isidro <br><br>PARA INFORMACION TELEFONOS : <span class='descripcionDatosAnunciante'><button class='btn btn-link js-verDatos' href='#'>Ver datos</button></span>(Adolfo), <span class='descripcionDatosAnunciante'><button class='btn btn-link js-verDatos' href='#'>Ver datos</button></span>( Marcela) o por Whasapp al +1-<span class='descripcionDatosAnunciante'><button class='btn btn-link js-verDatos' href='#'>Ver datos</button></span>(Janett)",Publicado hace 7 días,https://urbania.pe/inmueble/alquiler-de-departamento-en-malecon-marina-miraflores-2-dormitorios-ascensor-58213627,ONLINE,PROPERTY,120,120,2,1,1,4,2,4662,6,S/
58040950,Dep - Alf - 902 Moderno Duplex Amoblado de 94 m&sup2; en Miraflores con 1 Cochera,Departamento · 94m² · 3 Dormitorios · 1 Estacionamiento,"Hermoso departamento duplex calle alcanfores 110 Miraflores Nro 902 en alquiler amoblado $1,500.00 de 94,3 m2 a 2 cuadras de parque Kennedy, cuenta con 3 dormitorios, 3 baños, sala, comedor, cocina, cuarto y baño de servicio adicional, terraza, aréa de parrilla, remodelado, Mantenimiento de S/333,00 incluye 1 cochera simple en sotano 2. Contrato minimo 1 año, 2 meses de garantia y 1 mes de adelanto.",Publicado hace 2 días,https://urbania.pe/inmueble/alquiler-de-departamento-en-miraflores-lima-3-dormitorios-ascensor-58040950,ONLINE,PROPERTY,94,94,3,3,0,4,1,5010,6,S/
58216332,Buena Ubicacion con Cochera! 1w. G,Departamento · 70m² · 1 Dormitorio · 1 Estacionamiento,"Lindo departamento, buena ubicacion, 70m2, excelente iluminacion, un dormitorio, dos baños, sala comedor, cocina, cochera. Alquiler mensual $800 Walter Guardales 9.8.6.4.3.1.4.3.8. - 9.3.7.5.7.7.9.3.1. <br>El departamento que estas buscando, nosotros lo tenemos, este y muchos mas, amoblados, sin amoblar, pisos altos, pisos bajos, vista interna o a la calle, en todo Lima, comunicate con nosotros y visita el departamento ideal para TI!!!",Publicado hace 7 días,https://urbania.pe/inmueble/alquiler-de-departamento-en-miraflores-lima-1-dormitorio-58216332,ONLINE,PROPERTY,70,70,1,1,1,4,1,2690,6,S/
